GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
usuario-registration-service,com.example.user,Usuario,0,75,0,10,0,17,0,11,0,6
usuario-registration-service,com.example.user,ServicioUsuario,0,75,0,10,0,19,0,8,0,3
